LB,UC,time
120,0.0,0.0
132,0.006,0.5
133,0.008,1.0
134,0.008,1.5
132,0.008,2.0
134,0.01,2.5
134,0.013,3.0
122,0.0,3.5
122,0.002,4.0
122,0.003,4.5
151,0.001,5.0
150,0.001,5.5
131,0.008,6.0
131,0.006,6.5
130,0.004,7.0
130,0.004,7.5
130,0.005,8.0
131,0.003,8.5
130,0.006,9.0
130,0.005,9.5
129,0.004,10.0
128,0.003,10.5
128,0.003,11.0
128,0.0,11.5
128,0.003,12.0
124,0.0,12.5
124,0.0,13.0
124,0.0,13.5
132,0.001,14.0
132,0.0,14.5
132,0.002,15.0
132,0.004,15.5
132,0.001,16.0
120,0.001,16.5
120,0.002,17.0
120,0.007,17.5
115,0.005,18.0
114,0.005,18.5
115,0.004,19.0
115,0.005,19.5
114,0.007,20.0
114,0.009,20.5
116,0.005,21.0
116,0.005,21.5
122,0.003,22.0
122,0.003,22.5
122,0.008,23.0
122,0.006,23.5
122,0.006,24.0
158,0.008,24.5
158,0.008,25.0
156,0.012,25.5
156,0.011,26.0
150,0.0,26.5
148,0.0,27.0
149,0.0,27.5
149,0.0,28.0
146,0.006,28.5
148,0.005,29.0
144,0.007,29.5
146,0.005,30.0
146,0.005,30.5
142,0.003,31.0
136,0.005,31.5
141,0.005,32.0
150,0.004,32.5
138,0.004,33.0
140,0.004,33.5
140,0.004,34.0
144,0.005,34.5
144,0.005,35.0
140,0.003,35.5
140,0.0,36.0
140,0.004,36.5
140,0.003,37.0
154,0.004,37.5
150,0.003,38.0
145,0.002,38.5
145,0.001,39.0
145,0.005,39.5
145,0.002,40.0
145,0.003,40.5
145,0.002,41.0
145,0.002,41.5
145,0.001,42.0
145,0.001,42.5
145,0.002,43.0
139,0.0,43.5
139,0.0,44.0
139,0.0,44.5
139,0.002,45.0
148,0.0,45.5
148,0.0,46.0
148,0.0,46.5
148,0.002,47.0
148,0.0,47.5
148,0.0,48.0
148,0.0,48.5
148,0.0,49.0
125,0.002,49.5
125,0.002,50.0
125,0.002,50.5
125,0.002,51.0
125,0.0,51.5
125,0.0,52.0
125,0.003,52.5
125,0.0,53.0
125,0.006,53.5
125,0.006,54.0
125,0.0,54.5
125,0.002,55.0
129,0.001,55.5
129,0.005,56.0
129,0.006,56.5
129,0.009,57.0
129,0.007,57.5
123,0.007,58.0
123,0.004,58.5
123,0.004,59.0
123,0.005,59.5
123,0.005,60.0
123,0.005,60.5
123,0.005,61.0
123,0.006,61.5
123,0.007,62.0
159,0.003,62.5
159,0.004,63.0
159,0.003,63.5
159,0.003,64.0
158,0.0,64.5
158,0.0,65.0
158,0.0,65.5
158,0.0,66.0
159,0.008,66.5
159,0.01,67.0
159,0.008,67.5
159,0.01,68.0
159,0.009,68.5
159,0.008,69.0
159,0.009,69.5
159,0.006,70.0
154,0.002,70.5
154,0.002,71.0
154,0.003,71.5
143,0.003,72.0
143,0.002,72.5
143,0.001,73.0
149,0.003,73.5
149,0.0,74.0
148,0.006,74.5
148,0.003,75.0
148,0.004,75.5
140,0.004,76.0
125,0.006,76.5
125,0.008,77.0
123,0.005,77.5
123,0.006,78.0
123,0.006,78.5
123,0.006,79.0
123,0.006,79.5
123,0.006,80.0
123,0.007,80.5
122,0.006,81.0
122,0.006,81.5
122,0.004,82.0
134,0.001,82.5
134,0.001,83.0
134,0.002,83.5
134,0.001,84.0
116,0.003,84.5
116,0.004,85.0
116,0.005,85.5
119,0.004,86.0
119,0.003,86.5
119,0.004,87.0
119,0.005,87.5
119,0.003,88.0
119,0.005,88.5
119,0.008,89.0
121,0.003,89.5
120,0.007,90.0
138,0.005,90.5
131,0.0,91.0
132,0.006,91.5
132,0.003,92.0
132,0.008,92.5
132,0.005,93.0
138,0.004,93.5
138,0.006,94.0
138,0.004,94.5
138,0.004,95.0
144,0.004,95.5
144,0.003,96.0
144,0.005,96.5
150,0.006,97.0
150,0.007,97.5
150,0.005,98.0
145,0.002,98.5
145,0.002,99.0
120,0.0,99.5
120,0.0,100.0
120,0.0,100.5
120,0.0,101.0
120,0.0,101.5
120,0.0,102.0
120,0.0,102.5
120,0.0,103.0
120,0.0,103.5
124,0.002,104.0
124,0.0,104.5
125,0.001,105.0
125,0.0,105.5
125,0.002,106.0
125,0.0,106.5
127,0.001,107.0
127,0.002,107.5
127,0.0,108.0
127,0.0,108.5
127,0.001,109.0
127,0.0,109.5
129,0.0,110.0
129,0.0,110.5
129,0.0,111.0
129,0.0,111.5
129,0.0,112.0
129,0.0,112.5
127,0.0,113.0
127,0.0,113.5
127,0.0,114.0
123,0.0,114.5
123,0.0,115.0
123,0.0,115.5
123,0.0,116.0
123,0.0,116.5
123,0.0,117.0
121,0.0,117.5
121,0.0,118.0
121,0.0,118.5
125,0.001,119.0
125,0.001,119.5
125,0.0,120.0
125,0.001,120.5
125,0.002,121.0
123,0.001,121.5
