time,FHR1,FHR2,UC
0.0,144,142,0.047
0.5,143,135,0.066
1.0,148,143,0.034
1.5,139,133,0.074
2.0,143,145,0.065
2.5,142,142,0.092
3.0,140,143,0.078
3.5,144,143,0.081
4.0,145,141,0.025
4.5,137,136,0.024
5.0,147,149,0.08
5.5,154,134,0.111
6.0,140,139,0.059
6.5,147,132,0.076
7.0,150,141,0.093
7.5,143,144,0.104
8.0,140,132,0.079
8.5,148,146,0.084
9.0,137,136,0.127
9.5,147,142,0.058
10.0,140,148,0.088
10.5,139,142,0.057
11.0,146,135,0.071
11.5,144,146,0.067
12.0,145,137,0.068
12.5,139,132,0.074
13.0,140,145,0.067
13.5,142,139,0.068
14.0,147,144,0.041
14.5,141,142,0.07
15.0,140,141,0.067
15.5,146,146,0.072
16.0,136,139,0.041
16.5,140,136,0.023
17.0,146,136,0.09
17.5,142,142,0.097
18.0,133,139,0.064
18.5,143,139,0.062
19.0,154,148,0.049
19.5,136,136,0.042
20.0,145,134,0.061
20.5,146,131,0.09
21.0,147,133,0.092
21.5,150,133,0.057
22.0,151,149,0.064
22.5,145,140,0.049
23.0,140,136,0.058
23.5,143,147,0.105
24.0,141,144,0.043
24.5,136,139,0.064
25.0,145,136,0.063
25.5,139,142,0.091
26.0,137,142,0.064
26.5,144,138,0.095
27.0,141,141,0.031
27.5,141,140,0.056
28.0,146,145,0.054
28.5,151,129,0.051
29.0,146,134,0.078
29.5,140,133,0.051
30.0,140,135,0.067
30.5,158,136,0.064
31.0,149,141,0.082
31.5,155,137,0.068
32.0,153,134,0.066
32.5,143,139,0.075
33.0,140,143,0.062
33.5,140,138,0.089
34.0,143,134,0.072
34.5,150,141,0.052
35.0,146,141,0.063
35.5,146,142,0.051
36.0,149,137,0.066
36.5,144,144,0.046
37.0,143,137,0.103
37.5,145,147,0.065
38.0,148,146,0.068
38.5,138,134,0.073
39.0,151,148,0.046
39.5,139,136,0.068
40.0,150,145,0.034
40.5,154,153,0.061
41.0,155,147,0.094
41.5,153,149,0.071
42.0,145,149,0.082
42.5,147,150,0.082
43.0,147,142,0.049
43.5,136,140,0.054
44.0,137,139,0.061
44.5,155,136,0.074
45.0,146,144,0.075
45.5,139,143,0.017
46.0,143,145,0.066
46.5,143,138,0.08
47.0,140,132,0.079
47.5,147,135,0.091
48.0,148,140,0.039
48.5,138,138,0.099
49.0,152,144,0.094
49.5,152,139,0.053
50.0,144,145,0.041
50.5,141,148,0.058
51.0,147,146,0.082
51.5,144,135,0.048
52.0,139,137,0.056
52.5,148,127,0.099
53.0,145,135,0.076
53.5,140,137,0.077
54.0,144,149,0.074
54.5,150,136,0.111
55.0,141,138,0.056
55.5,144,134,0.054
56.0,149,148,0.053
56.5,134,149,0.073
57.0,141,136,0.049
